reference_method	method	metric	higher_is_better	reference_mean	method_mean	mean_delta	mean_delta_ci95_low	mean_delta_ci95_high	median_delta	std_delta	sign_flip_pvalue	n_groups	reference_better	method_better	ties
full	esm_only	pwm_mae	False	0.320221	0.314983	-0.005238	-0.049790	0.025706	0.010227	0.068667	0.920898	12	8	3	1
full	structure_only	pwm_mae	False	0.320221	0.311698	-0.008523	-0.047107	0.030542	-0.018980	0.069093	0.678711	12	5	6	1
full	family_mean	pwm_mae	False	0.320221	0.306209	-0.014012	-0.059270	0.029267	0.009220	0.078826	0.562500	12	6	5	1
full	nearest_esm	pwm_mae	False	0.320221	0.308569	-0.011653	-0.055492	0.029167	0.013120	0.074957	0.617188	12	7	5	0
full	esm_only	pwm_kl	False	0.348318	0.301171	-0.047147	-0.161073	0.020643	0.009884	0.179154	0.663086	12	8	3	1
full	structure_only	pwm_kl	False	0.348318	0.189470	-0.158848	-0.476429	0.029372	-0.009778	0.497491	0.364258	12	5	6	1
full	family_mean	pwm_kl	False	0.348318	0.163237	-0.185081	-0.509803	-0.000662	-0.009841	0.515589	0.111328	12	6	6	0
full	nearest_esm	pwm_kl	False	0.348318	0.327819	-0.020499	-0.393665	0.212977	0.095855	0.583661	0.999512	12	10	2	0
full	esm_only	pwm_ic_pcc	True	0.921144	0.926019	0.004875	-0.010936	0.026235	-0.001554	0.033504	0.788086	12	8	3	1
full	structure_only	pwm_ic_pcc	True	0.921144	0.922009	0.000865	-0.027977	0.030184	0.001016	0.051625	0.954102	12	5	6	1
full	family_mean	pwm_ic_pcc	True	0.921144	0.934031	0.012887	-0.009616	0.036725	0.000359	0.041059	0.322266	12	6	6	0
full	nearest_esm	pwm_ic_pcc	True	0.921144	0.927070	0.005927	-0.011802	0.026872	-0.001945	0.034295	0.631348	12	7	5	0
full	esm_only	A_base_ap	True	0.609318	0.495562	-0.113756	-0.268595	-0.008591	-0.021195	0.239459	0.074707	12	8	4	0
full	structure_only	A_base_ap	True	0.609318	0.528977	-0.080340	-0.253697	0.137337	-0.067662	0.345554	0.467285	12	8	4	0
