method	metric	mean	std	n_groups
full	pwm_mae	0.320221	0.142262	12
full	pwm_kl	0.348318	0.589421	12
full	pwm_ic_pcc	0.921144	0.068261	12
full	A_base_ap	0.609318	0.371653	12
full	A_base_top_l_precision	0.567775	0.347177	12
full	A_backbone_ap	0.513163	0.363895	12
full	A_backbone_top_l_precision	0.500995	0.363988	12
full	A_contact_ap	0.533167	0.359162	12
full	A_contact_top_l_precision	0.526343	0.343699	12
full	site_ap	0.646038	0.290137	12
full	site_mcc	0.563422	0.319360	12
full	site_f1	0.609026	0.282126	12
full	n_residue	96.672222	9.375913	12
full	site_pos	11.977778	2.311378	12
full	A_base_pos	7.172222	1.850017	12
full	A_backbone_pos	17.566667	3.738934	12
full	A_contact_pos	21.961111	4.185730	12
full	A_backbone_top_l	17.566667	3.738934	12
full	A_base_top_l	7.172222	1.850017	12
full	A_contact_top_l	21.961111	4.185730	12
esm_only	pwm_mae	0.314983	0.110030	12
esm_only	pwm_kl	0.301171	0.416251	12
esm_only	pwm_ic_pcc	0.926019	0.054700	12
esm_only	A_base_ap	0.495562	0.353264	12
esm_only	A_base_top_l_precision	0.471578	0.329237	12
esm_only	A_backbone_ap	0.481615	0.363636	12
esm_only	A_backbone_top_l_precision	0.447098	0.363243	12
esm_only	A_contact_ap	0.472147	0.362413	12
esm_only	A_contact_top_l_precision	0.474516	0.349385	12
esm_only	site_ap	0.598671	0.300370	12
esm_only	site_mcc	0.468555	0.366198	12
esm_only	site_f1	0.543434	0.309738	12
esm_only	n_residue	96.672222	9.375913	12
esm_only	site_pos	11.977778	2.311378	12
esm_only	A_base_pos	7.172222	1.850017	12
esm_only	A_backbone_pos	17.566667	3.738934	12
esm_only	A_contact_pos	21.961111	4.185730	12
esm_only	A_backbone_top_l	17.566667	3.738934	12
esm_only	A_base_top_l	7.172222	1.850017	12
esm_only	A_contact_top_l	21.961111	4.185730	12
structure_only	pwm_mae	0.311698	0.125333	12
structure_only	pwm_kl	0.189470	0.131962	12
structure_only	pwm_ic_pcc	0.922009	0.055613	12
structure_only	A_base_ap	0.528977	0.324604	12
structure_only	A_base_top_l_precision	0.514922	0.311921	12
structure_only	A_backbone_ap	0.388330	0.329611	12
structure_only	A_backbone_top_l_precision	0.380406	0.304157	12
structure_only	A_contact_ap	0.410526	0.320846	12
structure_only	A_contact_top_l_precision	0.413542	0.292065	12
structure_only	site_ap	0.555596	0.295057	12
structure_only	site_mcc	0.423300	0.313779	12
structure_only	site_f1	0.477706	0.280353	12
structure_only	n_residue	96.672222	9.375913	12
structure_only	site_pos	11.977778	2.311378	12
structure_only	A_base_pos	7.172222	1.850017	12
structure_only	A_backbone_pos	17.566667	3.738934	12
structure_only	A_contact_pos	21.961111	4.185730	12
structure_only	A_backbone_top_l	17.566667	3.738934	12
structure_only	A_base_top_l	7.172222	1.850017	12
structure_only	A_contact_top_l	21.961111	4.185730	12
family_mean	pwm_mae	0.306209	0.108278	12
family_mean	pwm_kl	0.163237	0.112599	12
family_mean	pwm_ic_pcc	0.934031	0.047765	12
family_mean	n_residue	96.672222	9.375913	12
family_mean	site_pos	11.977778	2.311378	12
family_mean	A_base_pos	7.172222	1.850017	12
family_mean	A_backbone_pos	17.566667	3.738934	12
family_mean	A_contact_pos	21.961111	4.185730	12
nearest_esm	pwm_mae	0.308569	0.135512	12
nearest_esm	pwm_kl	0.327819	0.216838	12
nearest_esm	pwm_ic_pcc	0.927070	0.063255	12
nearest_esm	n_residue	96.672222	9.375913	12
nearest_esm	site_pos	11.977778	2.311378	12
nearest_esm	A_base_pos	7.172222	1.850017	12
nearest_esm	A_backbone_pos	17.566667	3.738934	12
nearest_esm	A_contact_pos	21.961111	4.185730	12
