method	metric	mean	std	n_groups
full	pwm_mae	0.320221	0.142262	12
full	pwm_kl	0.348318	0.589421	12
full	pwm_ic_pcc	0.921144	0.068261	12
full	A_base_ap	0.609318	0.371653	12
full	A_base_top_l_precision	0.567775	0.347177	12
full	A_backbone_ap	0.513163	0.363895	12
full	A_backbone_top_l_precision	0.500995	0.363988	12
full	A_contact_ap	0.533167	0.359162	12
full	A_contact_top_l_precision	0.526343	0.343699	12
full	site_ap	0.646038	0.290137	12
full	site_mcc	0.563422	0.319360	12
full	site_f1	0.609026	0.282126	12
full	n_residue	96.672222	9.375913	12
full	site_pos	11.977778	2.311378	12
full	A_base_pos	7.172222	1.850017	12
full	A_backbone_pos	17.566667	3.738934	12
full	A_contact_pos	21.961111	4.185730	12
full	A_backbone_top_l	17.566667	3.738934	12
full	A_base_top_l	7.172222	1.850017	12
full	A_contact_top_l	21.961111	4.185730	12
full_uncalibrated	pwm_mae	0.320076	0.142310	12
full_uncalibrated	pwm_kl	0.348827	0.589168	12
full_uncalibrated	pwm_ic_pcc	0.921157	0.068257	12
full_uncalibrated	A_base_ap	0.609318	0.371653	12
full_uncalibrated	A_base_top_l_precision	0.567775	0.347177	12
full_uncalibrated	A_backbone_ap	0.513163	0.363895	12
full_uncalibrated	A_backbone_top_l_precision	0.500995	0.363988	12
full_uncalibrated	A_contact_ap	0.533167	0.359162	12
full_uncalibrated	A_contact_top_l_precision	0.526343	0.343699	12
full_uncalibrated	site_ap	0.646038	0.290137	12
full_uncalibrated	site_mcc	0.563422	0.319360	12
full_uncalibrated	site_f1	0.609026	0.282126	12
full_uncalibrated	n_residue	96.672222	9.375913	12
full_uncalibrated	site_pos	11.977778	2.311378	12
full_uncalibrated	A_base_pos	7.172222	1.850017	12
full_uncalibrated	A_backbone_pos	17.566667	3.738934	12
full_uncalibrated	A_contact_pos	21.961111	4.185730	12
full_uncalibrated	A_backbone_top_l	17.566667	3.738934	12
full_uncalibrated	A_base_top_l	7.172222	1.850017	12
full_uncalibrated	A_contact_top_l	21.961111	4.185730	12
pwm_only	pwm_mae	0.314330	0.116402	12
pwm_only	pwm_kl	0.184506	0.120548	12
pwm_only	pwm_ic_pcc	0.923492	0.065584	12
pwm_only	A_base_ap	0.028902	0.034134	12
pwm_only	A_base_top_l_precision	0.034226	0.083267	12
pwm_only	A_backbone_ap	0.031108	0.012681	12
pwm_only	A_backbone_top_l_precision	0.023590	0.032695	12
pwm_only	A_contact_ap	0.037299	0.021251	12
pwm_only	A_contact_top_l_precision	0.024195	0.042280	12
pwm_only	site_ap	0.153942	0.060516	12
pwm_only	site_mcc	0.000000	0.000000	12
pwm_only	site_f1	0.220924	0.044172	12
pwm_only	n_residue	96.672222	9.375913	12
pwm_only	site_pos	11.977778	2.311378	12
pwm_only	A_base_pos	7.172222	1.850017	12
pwm_only	A_backbone_pos	17.566667	3.738934	12
pwm_only	A_contact_pos	21.961111	4.185730	12
pwm_only	A_backbone_top_l	17.566667	3.738934	12
pwm_only	A_base_top_l	7.172222	1.850017	12
pwm_only	A_contact_top_l	21.961111	4.185730	12
nearest_esm	pwm_mae	0.308569	0.135512	12
nearest_esm	pwm_kl	0.327819	0.216838	12
nearest_esm	pwm_ic_pcc	0.927070	0.063255	12
nearest_esm	n_residue	96.672222	9.375913	12
nearest_esm	site_pos	11.977778	2.311378	12
nearest_esm	A_base_pos	7.172222	1.850017	12
nearest_esm	A_backbone_pos	17.566667	3.738934	12
nearest_esm	A_contact_pos	21.961111	4.185730	12
family_mean	pwm_mae	0.306209	0.108278	12
family_mean	pwm_kl	0.163237	0.112599	12
family_mean	pwm_ic_pcc	0.934031	0.047765	12
family_mean	n_residue	96.672222	9.375913	12
family_mean	site_pos	11.977778	2.311378	12
family_mean	A_base_pos	7.172222	1.850017	12
family_mean	A_backbone_pos	17.566667	3.738934	12
family_mean	A_contact_pos	21.961111	4.185730	12
uniform_gate	pwm_mae	0.467786	0.085530	12
uniform_gate	pwm_kl	0.706538	0.622214	12
uniform_gate	pwm_ic_pcc	0.839763	0.065851	12
uniform_gate	n_residue	96.672222	9.375913	12
uniform_gate	site_pos	11.977778	2.311378	12
uniform_gate	A_base_pos	7.172222	1.850017	12
uniform_gate	A_backbone_pos	17.566667	3.738934	12
uniform_gate	A_contact_pos	21.961111	4.185730	12
shuffled_energy	pwm_mae	0.479888	0.100116	12
shuffled_energy	pwm_kl	0.758756	0.604468	12
shuffled_energy	pwm_ic_pcc	0.831237	0.081251	12
shuffled_energy	n_residue	96.672222	9.375913	12
shuffled_energy	site_pos	11.977778	2.311378	12
shuffled_energy	A_base_pos	7.172222	1.850017	12
shuffled_energy	A_backbone_pos	17.566667	3.738934	12
shuffled_energy	A_contact_pos	21.961111	4.185730	12
