fold	valid_group	residual_scale	prior_valid_mae	calibrated_valid_mae	valid_mae_scale_0.0	valid_mae_scale_0.1	valid_mae_scale_0.2	valid_mae_scale_0.3	valid_mae_scale_0.4	valid_mae_scale_0.5	valid_mae_scale_0.6	valid_mae_scale_0.7	valid_mae_scale_0.8	valid_mae_scale_0.9	valid_mae_scale_1.0
0	P11308	0.8	0.22514237463474274	0.08834074437618256	0.22514237463474274	0.1982680708169937	0.17332196732362112	0.1487903892993927	0.1261932229002317	0.11139020572106044	0.09930319835742314	0.09093677500883739	0.08834074437618256	0.09381922086079915	0.10329915831486385
1	P14921	0.0	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542
2	P15036	1.0	0.30489933490753174	0.1639304260412852	0.30489933490753174	0.28058334191640216	0.25844945510228473	0.23829482992490134	0.2202252894639969	0.20437097549438477	0.19118481377760568	0.180012047290802	0.1713031381368637	0.16648235420385996	0.1639304260412852
3	P17433	1.0	0.49074262380599976	0.36194685101509094	0.49074262380599976	0.4619442820549011	0.4334321916103363	0.40637287497520447	0.3851841986179352	0.3789156675338745	0.3729080557823181	0.3689776659011841	0.36559149622917175	0.3626152276992798	0.36194685101509094
4	P28324	0.8	0.20115680992603302	0.12095739195744197	0.20115680992603302	0.18260826667149863	0.16553913056850433	0.15173690021038055	0.14052693049112955	0.13139299054940543	0.12490107367436092	0.12123953799406688	0.12095739195744197	0.12239447484413783	0.12498559306065242
5	P41161	1.0	0.3219015598297119	0.12128274142742157	0.3219015598297119	0.2920040488243103	0.26488354802131653	0.24029354751110077	0.2170465886592865	0.19530144333839417	0.17519579827785492	0.15709546208381653	0.1431499421596527	0.13067427277565002	0.12128274142742157
6	P50548	1.0	0.31109344959259033	0.13661722242832183	0.31109344959259033	0.285631400346756	0.2608466982841492	0.2376122146844864	0.2154612958431244	0.19461842775344848	0.17526800632476808	0.15846120715141296	0.1443916827440262	0.13755428194999694	0.13661722242832183
7	P50549	0.7	0.21167033910751343	0.09438231587409973	0.21167033910751343	0.1892324984073639	0.16821499168872833	0.14843283593654633	0.12976133823394775	0.11228913068771362	0.09740715473890305	0.09438231587409973	0.09690079838037491	0.09845787286758423	0.0991302877664566
8	P97360	1.0	0.3502262234687805	0.3266720175743103	0.3502262234687805	0.3482624292373657	0.3462073802947998	0.3440621495246887	0.34182828664779663	0.33950740098953247	0.33710145950317383	0.3346126079559326	0.3320431113243103	0.3293953537940979	0.3266720175743103
9	Q00422	1.0	0.1705123484134674	0.10864107310771942	0.1705123484134674	0.16194845736026764	0.15371231734752655	0.14580771327018738	0.13823622465133667	0.1309966742992401	0.12408579885959625	0.1186438798904419	0.11404712498188019	0.11110974848270416	0.10864107310771942
10	Q3UPW2	1.0	0.40679359436035156	0.21618571877479553	0.40679359436035156	0.3829578757286072	0.3584774434566498	0.3340819180011749	0.3105154037475586	0.2883455157279968	0.26835745573043823	0.25049999356269836	0.23690372705459595	0.2257605791091919	0.21618571877479553
11	O95238	1.0	0.5091596245765686	0.351224809885025	0.5091596245765686	0.485994815826416	0.46424177289009094	0.4441497325897217	0.42584946751594543	0.4093632996082306	0.39462733268737793	0.3815181851387024	0.36989521980285645	0.3596106171607971	0.351224809885025
