split	entry	label	reason
deeppbs_id_contactalign	2evi_A_MA0343.1.jaspar.npz	pdb_download_fail	URLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1017)'))
deeppbs_id_contactalign	2evf_A_MA0343.1.jaspar.npz	pdb_download_fail	URLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1017)'))
deeppbs_id_contactalign	7dcj_A_HSF1_HUMAN.H11MO.0.A.npz	dna_shorter_than_pwm	Traceback (most recent call last): |   File "/home/dangqi/miniconda3/envs/rbe/lib/python3.10/runpy.py", line 196, in _run_module_as_main |     return _run_code(code, main_globals, None, |   File "/home/dangqi/miniconda3/envs/rbe/lib/python3.10/runpy.py", line 86, in _run_code |     exec(code, run_globals) |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 365, in <module> |     main() |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 361, in main |     process_complex(build_argparser().parse_args()) |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 204, in process_complex |     slot_to_dna_index, alignment_meta = _parse_slot_to_dna_index( |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 57, in _parse_slot_to_dna_index |     _select_contact_constrained_alignment( |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 159, in _select_contact_constrained_alignment |     raise ValueError(f"No selected DNA chain is long enough for PWM length {motif_len}.") | ValueError: No selected DNA chain is long enough for PWM length 14.
deeppbs_id_contactalign	5hdn_A_HSF1_HUMAN.H11MO.0.A.npz	dna_shorter_than_pwm	Traceback (most recent call last): |   File "/home/dangqi/miniconda3/envs/rbe/lib/python3.10/runpy.py", line 196, in _run_module_as_main |     return _run_code(code, main_globals, None, |   File "/home/dangqi/miniconda3/envs/rbe/lib/python3.10/runpy.py", line 86, in _run_code |     exec(code, run_globals) |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 365, in <module> |     main() |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 361, in main |     process_complex(build_argparser().parse_args()) |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 204, in process_complex |     slot_to_dna_index, alignment_meta = _parse_slot_to_dna_index( |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 57, in _parse_slot_to_dna_index |     _select_contact_constrained_alignment( |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 159, in _select_contact_constrained_alignment |     raise ValueError(f"No selected DNA chain is long enough for PWM length {motif_len}.") | ValueError: No selected DNA chain is long enough for PWM length 14.
deeppbs_id_contactalign	2ady_A_MA0106.3.jaspar.npz	dna_shorter_than_pwm	Traceback (most recent call last): |   File "/home/dangqi/miniconda3/envs/rbe/lib/python3.10/runpy.py", line 196, in _run_module_as_main |     return _run_code(code, main_globals, None, |   File "/home/dangqi/miniconda3/envs/rbe/lib/python3.10/runpy.py", line 86, in _run_code |     exec(code, run_globals) |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 365, in <module> |     main() |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 361, in main |     process_complex(build_argparser().parse_args()) |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 204, in process_complex |     slot_to_dna_index, alignment_meta = _parse_slot_to_dna_index( |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 57, in _parse_slot_to_dna_index |     _select_contact_constrained_alignment( |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 159, in _select_contact_constrained_alignment |     raise ValueError(f"No selected DNA chain is long enough for PWM length {motif_len}.") | ValueError: No selected DNA chain is long enough for PWM length 17.
deeppbs_id_contactalign	5vpf_B_JUND_HUMAN.H11MO.0.A.npz	missing_dna_base_atoms	Traceback (most recent call last): |   File "/home/dangqi/miniconda3/envs/rbe/lib/python3.10/runpy.py", line 196, in _run_module_as_main |     return _run_code(code, main_globals, None, |   File "/home/dangqi/miniconda3/envs/rbe/lib/python3.10/runpy.py", line 86, in _run_code |     exec(code, run_globals) |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 365, in <module> |     main() |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 361, in main |     process_complex(build_argparser().parse_args()) |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 204, in process_complex |     slot_to_dna_index, alignment_meta = _parse_slot_to_dna_index( |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 57, in _parse_slot_to_dna_index |     _select_contact_constrained_alignment( |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 163, in _select_contact_constrained_alignment |     labels = _compute_contact_labels( |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 104, in _compute_contact_labels |     slot_base_coords = [base_heavy_atom_coords(dna[idx]) for idx in slot_to_dna_index] |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 104, in <listcomp> |     slot_base_coords = [base_heavy_atom_coords(dna[idx]) for idx in slot_to_dna_index] |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/pdb.py", line 133, in base_heavy_atom_coords |     raise ValueError(f"DNA residue {residue.residue_id} has no base heavy atoms.") | ValueError: DNA residue F:19 has no base heavy atoms.
deeppbs_id_contactalign	5yef_B_MA1930.1.jaspar.npz	dna_shorter_than_pwm	Traceback (most recent call last): |   File "/home/dangqi/miniconda3/envs/rbe/lib/python3.10/runpy.py", line 196, in _run_module_as_main |     return _run_code(code, main_globals, None, |   File "/home/dangqi/miniconda3/envs/rbe/lib/python3.10/runpy.py", line 86, in _run_code |     exec(code, run_globals) |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 365, in <module> |     main() |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 361, in main |     process_complex(build_argparser().parse_args()) |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 204, in process_complex |     slot_to_dna_index, alignment_meta = _parse_slot_to_dna_index( |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 57, in _parse_slot_to_dna_index |     _select_contact_constrained_alignment( |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 159, in _select_contact_constrained_alignment |     raise ValueError(f"No selected DNA chain is long enough for PWM length {motif_len}.") | ValueError: No selected DNA chain is long enough for PWM length 30.
deeppbs_id_contactalign	5und_A_MA1930.1.jaspar.npz	dna_shorter_than_pwm	Traceback (most recent call last): |   File "/home/dangqi/miniconda3/envs/rbe/lib/python3.10/runpy.py", line 196, in _run_module_as_main |     return _run_code(code, main_globals, None, |   File "/home/dangqi/miniconda3/envs/rbe/lib/python3.10/runpy.py", line 86, in _run_code |     exec(code, run_globals) |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 365, in <module> |     main() |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 361, in main |     process_complex(build_argparser().parse_args()) |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 204, in process_complex |     slot_to_dna_index, alignment_meta = _parse_slot_to_dna_index( |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 57, in _parse_slot_to_dna_index |     _select_contact_constrained_alignment( |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 159, in _select_contact_constrained_alignment |     raise ValueError(f"No selected DNA chain is long enough for PWM length {motif_len}.") | ValueError: No selected DNA chain is long enough for PWM length 30.
deeppbs_id_contactalign	5und_B_MA1930.1.jaspar.npz	dna_shorter_than_pwm	Traceback (most recent call last): |   File "/home/dangqi/miniconda3/envs/rbe/lib/python3.10/runpy.py", line 196, in _run_module_as_main |     return _run_code(code, main_globals, None, |   File "/home/dangqi/miniconda3/envs/rbe/lib/python3.10/runpy.py", line 86, in _run_code |     exec(code, run_globals) |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 365, in <module> |     main() |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 361, in main |     process_complex(build_argparser().parse_args()) |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 204, in process_complex |     slot_to_dna_index, alignment_meta = _parse_slot_to_dna_index( |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 57, in _parse_slot_to_dna_index |     _select_contact_constrained_alignment( |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 159, in _select_contact_constrained_alignment |     raise ValueError(f"No selected DNA chain is long enough for PWM length {motif_len}.") | ValueError: No selected DNA chain is long enough for PWM length 30.
deeppbs_id_contactalign	5yef_G_MA1930.1.jaspar.npz	dna_shorter_than_pwm	Traceback (most recent call last): |   File "/home/dangqi/miniconda3/envs/rbe/lib/python3.10/runpy.py", line 196, in _run_module_as_main |     return _run_code(code, main_globals, None, |   File "/home/dangqi/miniconda3/envs/rbe/lib/python3.10/runpy.py", line 86, in _run_code |     exec(code, run_globals) |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 365, in <module> |     main() |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 361, in main |     process_complex(build_argparser().parse_args()) |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 204, in process_complex |     slot_to_dna_index, alignment_meta = _parse_slot_to_dna_index( |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 57, in _parse_slot_to_dna_index |     _select_contact_constrained_alignment( |   File "/mnt/data1/home_bak/dangqi/residue-base-energy/src/rbe/data/process_complex.py", line 159, in _select_contact_constrained_alignment |     raise ValueError(f"No selected DNA chain is long enough for PWM length {motif_len}.") | ValueError: No selected DNA chain is long enough for PWM length 30.
