fold	valid_group	residual_scale	prior_valid_mae	calibrated_valid_mae	valid_mae_scale_0.0	valid_mae_scale_0.1	valid_mae_scale_0.2	valid_mae_scale_0.3	valid_mae_scale_0.4	valid_mae_scale_0.5	valid_mae_scale_0.6	valid_mae_scale_0.7	valid_mae_scale_0.8	valid_mae_scale_0.9	valid_mae_scale_1.0
0	P11308	1.0	0.22514237463474274	0.19299572706222534	0.22514237463474274	0.22193178037802377	0.21871483325958252	0.21542722483476004	0.21219545106093088	0.20894141495227814	0.20567048589388529	0.20239857832590738	0.1991804838180542	0.19605649014314017	0.19299572706222534
1	P14921	0.0	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542
2	P15036	1.0	0.30489933490753174	0.1771551916996638	0.30489933490753174	0.28849178552627563	0.27269961436589557	0.2576085428396861	0.24328921238581339	0.22979719440142313	0.2171734869480133	0.2054458608229955	0.1946303149064382	0.184967041015625	0.1771551916996638
3	P17433	1.0	0.49074262380599976	0.3914012610912323	0.49074262380599976	0.48070552945137024	0.47055914998054504	0.4603482484817505	0.4501318037509918	0.43999242782592773	0.42993858456611633	0.4200139343738556	0.4102589786052704	0.4007107615470886	0.3914012610912323
4	P28324	1.0	0.20115680992603302	0.10595471411943436	0.20115680992603302	0.18722474575042725	0.17401323219140372	0.1615756700436274	0.1499676009019216	0.14023537437121072	0.13174283256133398	0.12401966502269109	0.11738510181506474	0.11140541980663936	0.10595471411943436
5	P41161	1.0	0.3219015598297119	0.1713331639766693	0.3219015598297119	0.3020345866680145	0.2827526926994324	0.2643040418624878	0.2468920797109604	0.23066525161266327	0.2157483845949173	0.20220020413398743	0.18995946645736694	0.17903859913349152	0.1713331639766693
6	P50548	0.9	0.31109344959259033	0.1736277759075165	0.31109344959259033	0.28723695278167727	0.26461524367332456	0.24410901963710785	0.225200292468071	0.2080530971288681	0.1927325576543808	0.18106226921081542	0.17418383955955505	0.1736277759075165	0.1765523999929428
7	P50549	1.0	0.21167033910751343	0.11254796385765076	0.21167033910751343	0.2005639374256134	0.18966007232666016	0.17898540198802948	0.16856475174427032	0.15842470526695251	0.14860853552818298	0.13909731805324554	0.12990525364875793	0.12104316055774689	0.11254796385765076
8	P97360	1.0	0.3502262234687805	0.2520197033882141	0.3502262234687805	0.33658069372177124	0.3227071464061737	0.3088296055793762	0.29488950967788696	0.28211739659309387	0.27123844623565674	0.2636803984642029	0.25865018367767334	0.2549806833267212	0.2520197033882141
9	Q00422	1.0	0.1705123484134674	0.1651620715856552	0.1705123484134674	0.16992726922035217	0.1693534553050995	0.16879087686538696	0.16823947429656982	0.16769923269748688	0.167169988155365	0.16665175557136536	0.16614437103271484	0.16564783453941345	0.1651620715856552
10	Q3UPW2	1.0	0.40679359436035156	0.26136651635169983	0.40679359436035156	0.3880152404308319	0.3687058985233307	0.34963488578796387	0.33153221011161804	0.3149747848510742	0.300322949886322	0.2877156138420105	0.2771564722061157	0.26846110820770264	0.26136651635169983
11	O95238	1.0	0.5091596245765686	0.40603262186050415	0.5091596245765686	0.4954720437526703	0.48241567611694336	0.47006309032440186	0.45847076177597046	0.44767796993255615	0.43770796060562134	0.42856889963150024	0.4202556610107422	0.4127519726753235	0.40603262186050415
