fold	valid_group	residual_scale	prior_valid_mae	calibrated_valid_mae	valid_mae_scale_0.0	valid_mae_scale_0.1	valid_mae_scale_0.2	valid_mae_scale_0.3	valid_mae_scale_0.4	valid_mae_scale_0.5	valid_mae_scale_0.6	valid_mae_scale_0.7	valid_mae_scale_0.8	valid_mae_scale_0.9	valid_mae_scale_1.0
0	P11308	1.0	0.22514237463474274	0.21163945396741232	0.22514237463474274	0.22226238250732422	0.21956989665826163	0.21737308303515115	0.21627621352672577	0.2151833474636078	0.21428007384141287	0.21372248232364655	0.21309082210063934	0.21239386995633444	0.21163945396741232
1	P14921	0.0	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542	0.16469363868236542
2	P15036	1.0	0.30489933490753174	0.19101173182328543	0.30489933490753174	0.28919199109077454	0.2741997043291728	0.26005975405375165	0.24687891205151877	0.2347323646148046	0.22366516292095184	0.21369520823160806	0.20481755336125693	0.19714427491029105	0.19101173182328543
3	P17433	1.0	0.49074262380599976	0.30233892798423767	0.49074262380599976	0.46160608530044556	0.4331630766391754	0.4054577052593231	0.37868544459342957	0.3560667634010315	0.33546555042266846	0.3240935504436493	0.31617459654808044	0.3089284896850586	0.30233892798423767
4	P28324	1.0	0.20115680992603302	0.08178995301326115	0.20115680992603302	0.1836030731598536	0.16715330878893533	0.151912122964859	0.13795246680577597	0.12529669205347696	0.11392357697089513	0.10377763708432515	0.09477922568718593	0.0868379573027293	0.08178995301326115
5	P41161	1.0	0.3219015598297119	0.13389268517494202	0.3219015598297119	0.2949821949005127	0.2708435356616974	0.24798503518104553	0.22654464840888977	0.20663443207740784	0.1883283406496048	0.17167554795742035	0.15673473477363586	0.14412935078144073	0.13389268517494202
6	P50548	1.0	0.31109344959259033	0.18084536790847777	0.31109344959259033	0.29367958903312685	0.2766054034233093	0.2607325851917267	0.24563275575637816	0.23135666847229003	0.21818279922008516	0.20603035688400267	0.1955489307641983	0.18641483187675476	0.18084536790847777
7	P50549	0.8	0.21167033910751343	0.09793231636285782	0.21167033910751343	0.19512316584587097	0.17904768884181976	0.16360065340995789	0.148785799741745	0.13460330665111542	0.1210739016532898	0.1082260012626648	0.09793231636285782	0.09801718592643738	0.10078058391809464
8	P97360	0.9	0.3502262234687805	0.18617817759513855	0.3502262234687805	0.3169248104095459	0.2866843044757843	0.25835785269737244	0.23704461753368378	0.22054997086524963	0.2081281691789627	0.19795642793178558	0.1898740530014038	0.18617817759513855	0.18885236978530884
9	Q00422	1.0	0.1705123484134674	0.10354676097631454	0.1705123484134674	0.1619364470243454	0.1536952257156372	0.14581209421157837	0.13830485939979553	0.13118594884872437	0.12492041289806366	0.11909383535385132	0.11358657479286194	0.10840390622615814	0.10354676097631454
10	Q3UPW2	1.0	0.40679359436035156	0.1770431101322174	0.40679359436035156	0.38098496198654175	0.3547634780406952	0.32859617471694946	0.302948534488678	0.2782260477542877	0.2547314763069153	0.232873797416687	0.21283270418643951	0.19420692324638367	0.1770431101322174
11	O95238	1.0	0.5091596245765686	0.3898113965988159	0.5091596245765686	0.490027517080307	0.47233080863952637	0.45620840787887573	0.4417455792427063	0.42898088693618774	0.41791489720344543	0.4085191488265991	0.4007452726364136	0.3945319652557373	0.3898113965988159
